ID	label_en	synonym_en	label_ja	synonym_ja	notification_number	Mondo
2200229	[Shoman] Hypertrophic cardiomyopathy	HCM	[小慢] 肥大型心筋症		88	MONDO:0005045
2200230	[Shoman] Arrhythmogenic right ventricular cardiomyopathy or dysplasia		[小慢] 不整脈源性右室心筋症		91	MONDO:0016587
2200231	[Shoman] Non-compaction of the ventricle		[小慢] 心筋緻密化障害		29	MONDO:0018901
2200232	[Shoman] Dilated cardiomyopathy	DCM	[小慢] 拡張型心筋症		4	MONDO:0005021
2200233	[Shoman] Restrictive cardiomyopathy	Restricted cardiomyopathy	[小慢] 拘束型心筋症		20	MONDO:0005201
2200234	[Shoman] Aneurysm of ventricle	Diverticulum of ventricle	[小慢] 心室瘤		35	MONDO:0006779|MONDO:0015677
2200235	[Shoman] Endocardial fibroelastosis		[小慢] 心内膜線維弾性症		45	MONDO:0009169
2200236	[Shoman] Cardiac tumor		[小慢] 心臓腫瘍		36	MONDO:0021209
2200237	[Shoman] Chronic myocarditis		[小慢] 慢性心筋炎		93	
2200238	[Shoman] Chronic pericarditis		[小慢] 慢性心膜炎		94	
2200239	[Shoman] Constrictive pericarditis		[小慢] 収縮性心膜炎		25	MONDO:0006711
2200240	[Shoman] Congenital defect of the pericardium		[小慢] 先天性心膜欠損症		53	
2200241	[Shoman] Idiopathic rupture of chordae tendineae of the mitral valve in infants		[小慢] 乳児特発性僧帽弁腱索断裂		76	
2200242	[Shoman] Abnormal origin of left coronary artery from pulmonary artery		[小慢] 左冠動脈肺動脈起始症		10	MONDO:0000811
2200243	[Shoman] Abnormal origin of right coronary artery from pulmonary artery		[小慢] 右冠動脈肺動脈起始症		11	
2200244	[Shoman] Other anomalous origin of coronary artery		[小慢] 29及び30に掲げるもののほか、冠動脈起始異常		12	
2200245	[Shoman] Coronary aneurysms complicated with Kawasaki disease		[小慢] 川崎病性冠動脈瘤		5	
2200246	[Shoman] Stenosis or atresia of coronary artery		[小慢] 冠動脈狭窄症		6	MONDO:0006715
2200247	[Shoman] Angina pectoris		[小慢] 狭心症		15	
2200248	[Shoman] Myocardial infarction		[小慢] 心筋梗塞		16	MONDO:0005068
2200249	[Shoman] Hypoplastic left heart syndrome		[小慢] 左心低形成症候群		22	MONDO:0004933
2200250	[Shoman] Single ventricle		[小慢] 単心室症		68	MONDO:0015451
2200251	[Shoman] Tricuspid atresia		[小慢] 三尖弁閉鎖症		24	MONDO:0011514
2200252	[Shoman] Pulmonary atresia with ventricular septal defect		[小慢] 心室中隔欠損を伴う肺動脈閉鎖症	極型ファロー四徴症	84	MONDO:0008343
2200253	[Shoman] Pulmonary atresia with intact ventricular septum		[小慢] 心室中隔欠損を伴わない肺動脈閉鎖症		85	MONDO:0009931
2200254	[Shoman] Tetralogy of Fallot	Fallot's Tetralogy	[小慢] ファロー四徴症	Fallot四徴症	89	MONDO:0008542
2200255	[Shoman] Taussig-Bing anomaly		[小慢] タウジッヒ・ビング奇形	Taussig-Bing奇形	97	
2200256	[Shoman] Double outlet right ventricle		[小慢] 両大血管右室起始症		98	MONDO:0018089
2200257	[Shoman] Double-outlet left ventricle		[小慢] 両大血管左室起始症		99	MONDO:0018090
2200258	[Shoman] Complete transposition of the great arteries	Complete TGA	[小慢] 完全大血管転位症		8	MONDO:0000153
2200259	[Shoman] Congenitally corrected transposition of the great arteries		[小慢] 先天性修正大血管転位症		52	MONDO:0016301
2200260	[Shoman] Ebstein's anomaly	Ebstein anomaly|Ebstein's malformation|Ebstein malformation	[小慢] エプスタイン病	Ebstein病|Ebstein奇形	3	MONDO:0009144
2200261	[Shoman] Truncus arteriosus communis		[小慢] 総動脈幹遺残症		54	MONDO:0018072
2200262	[Shoman] Aorto-pulmonary window		[小慢] 大動脈肺動脈窓		63	MONDO:0021902
2200263	[Shoman] Cor triatriatum		[小慢] 三心房心		23	MONDO:0015450
2200264	[Shoman] Patent ductus arteriosus		[小慢] 動脈管開存症		73	MONDO:0011827
2200265	[Shoman] Common atrium		[小慢] 単心房症		49	
2200266	[Shoman] Atrial septal defect, ostium secundum type		[小慢] 二次孔型心房中隔欠損症		50	MONDO:0020434|MONDO:0020439
2200267	[Shoman] Atrial septal defect, sinus venosus type		[小慢] 静脈洞型心房中隔欠損症		48	MONDO:0020436
2200268	[Shoman] Incomplete atrioventricular septal defect		[小慢] 不完全型房室中隔欠損症	不完全型心内膜床欠損症	51	MONDO:0015275
2200269	[Shoman] Complete atrioventricular septal defect		[小慢] 完全型房室中隔欠損症	完全型心内膜床欠損症	7	MONDO:0015273
2200270	[Shoman] Ventricular septal defect		[小慢] 心室中隔欠損症		31	MONDO:0002070
2200271	[Shoman] Total anomalous pulmonary venous connection		[小慢] 総肺静脈還流異常症		77	MONDO:0007130
2200272	[Shoman] Partial anomalous pulmonary venous connection		[小慢] 部分肺静脈還流異常症		78	MONDO:0020453
2200273	[Shoman] Pulmonary venous obstruction		[小慢] 肺静脈狭窄症		79	MONDO:0017864
2200274	[Shoman] Left ventricular-right atrial communication		[小慢] 左室右房交通症		21	MONDO:0020428
2200275	[Shoman] Double-chambered right ventricle		[小慢] 右室二腔症		2	MONDO:0016581
2200276	[Shoman] Subvalvular pulmonary stenosis		[小慢] 肺動脈弁下狭窄症		86	MONDO:0006935
2200277	[Shoman] Subvalvular aortic stenosis		[小慢] 大動脈弁下狭窄症		64	MONDO:0006987
2200278	[Shoman] Supravalvular pulmonary stenosis		[小慢] 肺動脈弁上狭窄症		80	MONDO:0017870
2200279	[Shoman] Peripheral pulmonary stenosis		[小慢] 末梢性肺動脈狭窄症		81	
2200280	[Shoman] Absent pulmonary valve		[小慢] 肺動脈弁欠損		87	MONDO:0020064
2200281	[Shoman] Origin of pulmonary artery from ascending aorta		[小慢] 肺動脈上行大動脈起始症		82	MONDO:0020391
2200282	[Shoman] Unilateral absence of a pulmonary artery		[小慢] 一側肺動脈欠損		1	MONDO:0020007
2200283	[Shoman] Coarctation of the aorta		[小慢] 大動脈縮窄症		59	MONDO:0007345
2200284	[Shoman] Coarctation complex		[小慢] 大動脈縮窄複合		60	MONDO:0007345|MONDO:0015446
2200285	[Shoman] Supravalvular aortic stenosis		[小慢] 大動脈弁上狭窄症		61	MONDO:0008504
2200286	[Shoman] Williams syndrome		[小慢] ウィリアムズ症候群	Williams症候群	58	MONDO:0008678
2200287	[Shoman] Other coarctation of the aorta		[小慢] 70から73までに掲げるもののほか、大動脈狭窄症		62	
2200288	[Shoman] Interruption of aortic arch complex		[小慢] 大動脈弓離断複合		57	MONDO:0009010
2200289	[Shoman] Aortic arch occlusive disease		[小慢] 大動脈弓閉塞症		56	
2200290	[Shoman] Double aortic arch disease		[小慢] 重複大動脈弓症		18	MONDO:0020413
2200291	[Shoman] Vascular sling	PA sling|Pulmonary artery sling	[小慢] 左肺動脈右肺動脈起始症		17	
2200292	[Shoman] Other vascular ring		[小慢] 77及び78に掲げるもののほか、血管輪		19	
2200293	[Shoman] Aneurysm of sinus valsalva		[小慢] バルサルバ洞動脈瘤	Valsalva洞動脈瘤	66	MONDO:0015197
2200294	[Shoman] Aortic aneurysm		[小慢] 大動脈瘤		65	MONDO:0005160
2200295	[Shoman] Pulmonary arteriovenous fistulae		[小慢] 肺動静脈瘻		70	MONDO:0009930
2200296	[Shoman] Coronary artery fistula		[小慢] 冠動脈瘻		69	MONDO:0016081
2200297	[Shoman] Other arteriovenous fistulae		[小慢] 82及び83に掲げるもののほか、動静脈瘻		71	
2200298	[Shoman] Pulmonary arterial hypertension		[小慢] 肺動脈性肺高血圧症		83	MONDO:0015924
2200299	[Shoman] Chronic cor pulmonale		[小慢] 慢性肺性心		95	MONDO:0001493
2200300	[Shoman] Tricuspid valve stenosis		[小慢] 三尖弁狭窄症		37	MONDO:0005997
2200301	[Shoman] Tricuspid valve regurgitation		[小慢] 三尖弁閉鎖不全症		38	MONDO:0002870
2200302	[Shoman] Mitral valve stenosis		[小慢] 僧帽弁狭窄症		39	MONDO:0005852
2200303	[Shoman] Mitral regurgitation		[小慢] 僧帽弁閉鎖不全症		40	MONDO:0001298
2200304	[Shoman] Pulmonary valve stenosis		[小慢] 肺動脈弁狭窄症		43	MONDO:0006936
2200305	[Shoman] Pulmonary valve regurgitation		[小慢] 肺動脈弁閉鎖不全症		44	MONDO:0001927
2200306	[Shoman] Aortic valve stenosis		[小慢] 大動脈弁狭窄症		41	MONDO:0042981
2200307	[Shoman] Aortic valve regurgitation		[小慢] 大動脈弁閉鎖不全症		42	MONDO:0005648
2200308	[Shoman] Supramitral ring		[小慢] 僧帽弁弁上輪		55	MONDO:0020400
2200309	[Shoman] Asplenia syndrome		[小慢] 無脾症候群		75	
2200310	[Shoman] Polysplenia syndrome		[小慢] 多脾症候群		74	
2200311	[Shoman] Post-Fontan syndrome		[小慢] フォンタン術後症候群	Fontan術後症候群	90	
2200312	[Shoman] Congenital hypopituitarism		[小慢] 先天性下垂体機能低下症		5	MONDO:0018762
2200313	[Shoman] Acquired hypopituitarism		[小慢] 後天性下垂体機能低下症		4	MONDO:0019832
2200314	[Shoman] Pituitary gigantism		[小慢] 下垂体性巨人症		6	MONDO:0020479
2200315	[Shoman] Acromegaly		[小慢] 先端巨大症		55	MONDO:0019933
2200316	[Shoman] Growth hormone deficiency caused by cerebral organic disorders		[小慢] 成長ホルモン分泌不全性低身長症（脳の器質的原因によるものに限る。）	GH分泌不全性低身長症（脳の器質的原因によるものに限る。）	45	
2200318	[Shoman] Growth hormone deficiency not caused by cerebral organic disorders		[小慢] 成長ホルモン分泌不全性低身長症（脳の器質的原因によるものを除く。）	GH分泌不全性低身長症（脳の器質的原因によるものを除く。）	46	
2200320	[Shoman] IGF1 insensitivity		[小慢] インスリン様成長因子1不応症	IGF-1不応症	43	MONDO:0010038
2200321	[Shoman] Growth hormone insensitivity		[小慢] 成長ホルモン不応性症候群		44	MONDO:0015892
2200322	[Shoman] Hyperprolactinemia	Hyperprolactinaemia	[小慢] 高プロラクチン血症		33	MONDO:0005804
2200323	[Shoman] Syndrome of inappropriate secretion of antidiuretic hormone	SIADH	[小慢] 抗利尿ホルモン不適切分泌症候群	バゾプレシン分泌過剰症|ADH分泌亢進症	34	MONDO:0006802
2200324	[Shoman] Central diabetes insipidus		[小慢] 中枢性尿崩症		75	MONDO:0015790
2200325	[Shoman] Adipsic hypernatremia	Adipsic hypernatraemia|Essential hypernatremia	[小慢] 口渇中枢障害を伴う高ナトリウム血症	本態性高ナトリウム血症|無飲症性高ナトリウム血症	73	MONDO:0018620
2200326	[Shoman] Nephrogenic diabetes insipidus		[小慢] 腎性尿崩症		74	MONDO:0016383
2200327	[Shoman] Cerebral salt wasting syndrome		[小慢] 中枢性塩喪失症候群		67	
